docid,title,score,link,
5543f7dfe138233dfd7d2f9e,Crustal and magmatic evolution in a large multicyclic caldera complex: isotopic evidence from the central San Juan volcanic field,1,http://www.sciencedirect.com/science/article/pii/037702739400097Z,geochronology | radiocarbon | 14C
558e78b4e13823109f3ee389,Map and data for Quaternary faults and folds in New Mexico,1,https://www.sciencebase.gov/catalog/item/4f4e4a8ae4b07f02db6515d3,U/Pb | optically stimulated luminescence | geochronology | radiocarbon | U-Pb | luminescence dating | detrital zircon | U-Th | 14C | OSL | 238U
56f38729cf58f1be97d7e4ed,"Tectonic stability of the San Luis Hills, Northern Rio Grande Rift, Colorado: Evidence from paleomagnetic measurements",1,http://doi.wiley.com/10.1029/97GL00127,radiocarbon | 36Cl | cosmogenic | 14C
572ce3f5cf58f13589961933,Wilderness mineral potential: Assessment of mineral-resource potential in U.S. Forest Service lands studied in 1964-1984: Volume 1,1,https://www.sciencebase.gov/catalog/item/564474bce4b0aafbcd018561,radiocarbon | absolute age | 14C
57113cf1cf58f18f6401dc9f,"Assessing Roles of Volcanism and Basin Subsudence in Causing Oligocene-Lower Miocene Sedimentation in the Northern Rio Grande Rift, New Mexico, U.S.A.",1,http://dx.doi.org/10.1306/050602720836,U/Pb | 39Ar | geochronology | U-Pb | detrital zircon | U-Th | 238U
558de643e13823109f3ee01a,"Journal of Research of the U. S. Geological Survey, 1973, volume 1, issue 6",1,https://www.sciencebase.gov/catalog/item/505a4011e4b0c8380cd64a4e,argon dating
5545b69ee138233dfd7d378a,"Origin of rhyolite by crustal melting and the nature of parental magmas in the Oligocene Conejos Formation, San Juan Mountains, Colorado, USA",1,http://www.sciencedirect.com/science/article/pii/S0377027304003002,39Ar | 40Ar-39Ar | 40Ar/39Ar | 40Ar
55b8403de13823bd29ba866a,"Mineral resources of the La Garita Wilderness, San Juan Mountains, southwestern Colorado, with a section on geophysical interpretation",1,https://www.sciencebase.gov/catalog/item/4f4e4b06e4b07f02db69a25c,fission track | 39Ar | radiocarbon | 40Ar-39Ar | 40Ar/39Ar | 40Ar | U-Th | 14C
5590ecb7e13823109f3ef2e6,"Compilation of revised ages of volcanic units in the San Juan Mountains, Colorado; recalculated K-Ar age determinations using IUGS constants",1,https://www.sciencebase.gov/catalog/item/4f4e4b1de4b07f02db6a9734,U/Pb | paleomagnetism | 39Ar | geochronology | U-Pb | 40Ar-39Ar | 40Ar/39Ar | 40Ar | paleomagnetic
54b43265e138239d8684ee91,"Post-glacial landscape response to climate variability in the southeastern San Juan Mountains of Colorado, USA",1,http://www.sciencedirect.com/science/article/pii/S0033589411001104,39Ar | geochronology | 40Ar-39Ar | 40Ar/39Ar | 40Ar | paleomagnetic
55b39d1fe138231cbdd6d2c5,"Evolution of the Platoro caldera complex and related volcanic rocks, southeastern San Juan Mountains, Colorado",1,https://www.sciencebase.gov/catalog/item/4f4e4a07e4b07f02db5f969f,39Ar | biostratigraphy | 40Ar-39Ar | 40Ar/39Ar | 40Ar
55b36835e138231cbdd6d19e,"Calderas of the San Juan volcanic field, southwestern Colorado",1,https://www.sciencebase.gov/catalog/item/4f4e4a07e4b07f02db5f95fe,Ar/Ar | 39Ar | geochronology | 3He | 40Ar-39Ar | Ar-Ar | 40Ar/39Ar | 40Ar | paleomagnetic
598b1c9ecf58f1aa5d18ca4a,"Birth and evolution of the Rio Grande fluvial system in the past 8Ma: Progressive downward integration and the influence of tectonics, volcanism, and climate",1,http://www.sciencedirect.com/science/article/pii/S0012825216302094,U/Pb | Uranium series | geochronology | U-Pb | absolute age | U-Th | 238U
54c77ee0e13823b607fd395f,"Mantle source volumes and the origin of the mid-Tertiary ignimbrite flare-up in the southern Rocky Mountains, western U.S.",1,http://www.sciencedirect.com/science/article/pii/S0024493707001818,geochronology | radiocarbon | absolute age | paleomagnetic
5543a6e0e138233dfd7d2d1f,"Voluminous lava-like precursor to a major ash-flow tuff: low-column pyroclastic eruption of the Pagosa Peak Dacite, San Juan volcanic field, Colorado",1,http://www.sciencedirect.com/science/article/pii/S0377027399001857,fission track
54b43273e138239d8685161f,"Lead isotopic evidence for the origin of Paleo- and Mesoproterozoic rocks of the Colorado Province, U.S.A.",1,http://www.sciencedirect.com/science/article/pii/030192689390007O,argon dating
55a6e9c3e13823757cc6fc82,"Preliminary report on the geology of hydrothermally altered areas within the upper Alamosa River basin, Colorado",1,https://www.sciencebase.gov/catalog/item/4f4e4aafe4b07f02db66c8da,14C
55c42a10cf58f1a8110b9322,"Oligo-Miocene mafic intrusions of the San Juan Volcanic Field, southwestern Colorado, and their relationship to voluminous, caldera-forming magmas",1,http://www.sciencedirect.com/science/article/pii/S0016703715001039,U/Pb | Uranium series | fission track | Ar/Ar | tephrochronology | paleomagnetism | 39Ar | geochronology | radiocarbon | biostratigraphy | U-Pb | 40Ar-39Ar | Ar-Ar | U-Th-Pb | 40Ar/39Ar | absolute age | 40Ar | U-Th | paleomagnetic
57a0f4bdcf58f1a3e75bda54,"Geophysical study of the San Juan Mountains batholith complex, southwestern Colorado",1,http://dx.doi.org/10.1130/ges00723.1,geochronology | radiocarbon | paleomagnetic
5791e424cf58f1ad92064842,"Recurrent eruption and subsidence at the Platoro caldera complex, southeastern San Juan volcanic field, Colorado: New tales from old tuffs",1,http://dx.doi.org/10.1130/0016-7606(1996)108<1039:reasat>2.3.co;2,fission track | geochronology | argon dating
57a3b061cf58f1acad681026,"An ignimbrite caldera from the bottom up: Exhumed floor and fill of the resurgent Bonanza caldera, Southern Rocky Mountain volcanic field, Colorado",1,http://dx.doi.org/10.1130/ges01184.1,geochronology | biostratigraphy | argon dating | U-Th
5783ed3bcf58f12d85ce4695,"Petrologic evolution of the San Juan volcanic field, southwestern Colorado: Pb and Sr isotope evidence",1,http://dx.doi.org/10.1130/0016-7606(1978)89<59:peotsj>2.0.co;2,Ar/Ar | Ar-Ar | paleomagnetic
58c859ebcf58f179a56e6a4d,The Great Basin Altiplano during the middle Cenozoic ignimbrite flareup: insights from volcanic rocks,1,http://www.tandfonline.com/doi/abs/10.1080/00206810902867690,Uranium series | fission track | 39Ar | geochronology | radiocarbon | 40Ar-39Ar | 40Ar/39Ar | 40Ar | paleomagnetic | 14C | 238U
55b32faee138231cbdd6d07e,"Geology and uranium deposits of the Cochetopa and Marshall Pass districts, Saguache and Gunnison counties, Colorado",1,https://www.sciencebase.gov/catalog/item/4f4e4ad6e4b07f02db6841b2,geochronology | argon dating | absolute age
559d2cfae138230816dad6f3,"Caldera-related lava flows and intrusions of the south-central San Juan Mountains, Colorado; analytical data",1,https://www.sciencebase.gov/catalog/item/4f4e4a07e4b07f02db5f95c4,14C
578657c5cf58f10c846f9aa0,Sedimentology and stratigraphy of the Miocene Zia sand of New Mexico,1,http://dx.doi.org/10.1130/gsab-p2-92-2484,39Ar | geochronology | 40Ar-39Ar | argon dating | 40Ar/39Ar | 40Ar | paleomagnetic
57a39da0cf58f1a6fe879b7d,"Synchronous opening of the Rio Grande rift along its entire length at 25–10 Ma supported by apatite (U-Th)/He and fission-track thermochronology, and evaluation of possible driving mechanisms",1,http://dx.doi.org/10.1130/b31223.1,biostratigraphy
591c8904cf58f12d36036086,"A shifting rift—Geophysical insights into the evolution of Rio Grande rift margins and the Embudo transfer zone near Taos, New Mexico",1,http://dx.doi.org/10.1130/ges01425.1,paleomagnetism | geochronology | biostratigraphy | 14C
558d1dd3e13823109f3edc55,"Mineral resources of the San Juan primitive area, Colorado, with a section on iron resources in the Irving Formation",1,https://www.sciencebase.gov/catalog/item/4f4e4b06e4b07f02db69a0b4,U/Pb | paleomagnetism | geochronology | radiocarbon | biostratigraphy | U-Pb | argon dating | U-Th-Pb | U-Th | paleomagnetic
558db06ce13823109f3edecc,"A digital geologic map and explanation of the San Antonio Mountain Quadrangle, Rio Arriba and Taos counties, New Mexico",1,https://www.sciencebase.gov/catalog/item/4f4e4b25e4b07f02db6aed8a,40Ar | 14C
577dec65cf58f1546473dc4d,"Volcanic History of the San Juan Mountains, Colorado, as Indicated by Potassium–Argon Dating",1,http://dx.doi.org/10.1130/0016-7606(1970)81[2329:vhotsj]2.0.co;2,geochronology | radiocarbon | absolute age | U-Th
579d7c76cf58f1567c120b5a,"Eruptive and noneruptive calderas, northeastern San Juan Mountains, Colorado: Where did the ignimbrites come from?",1,http://dx.doi.org/10.1130/b26330.1,argon dating
578d60a7cf58f11b18453430,Cenozoic sedimentation and paleotectonics of north-central New Mexico: Implications for initiation and evolution of the Rio Grande rift,1,http://dx.doi.org/10.1130/0016-7606(1990)102<1280:csapon>2.3.co;2,argon dating
54d87dcce138238471e80327,"40Ar/39Ar and U–Pb dating of the Fish Canyon magmatic system, San Juan Volcanic field, Colorado: Evidence for an extended crystallization history",1,http://www.sciencedirect.com/science/article/pii/S0009254106004141,U/Pb | fission track | geochronology | U-Pb | U-Th-Pb | U-Th | paleomagnetic
557b0a05e138239225f861fd,"A digital geologic map and explanation of the Los Pinos Quadrangle, Rio Arriba and Taos counties, New Mexico and Conejos County, Colorado",1,https://www.sciencebase.gov/catalog/item/4f4e4b25e4b07f02db6aed52,U/Pb | Uranium series | 39Ar | geochronology | U-Pb | 3He | 40Ar-39Ar | cosmogenic | 40Ar/39Ar | 10Be | 40Ar
