doc_id,url,terms
5a0b40d7cf58f18684253bef,41MV120_ A Stratified Late Archaic Site in Maverick County Texas.pdf,"{Diamond,Feldspar,Gypsum,Hematite,Ice,Iron,Lead,Lime,Nickel,Olivine,Quartz,Tin,Zircon,Mica,Manganese,Helium,""Phase A"",Charcoal,Bronze,gravel,sand,silt,mud,mudstone,shale,siltstone,sandstone,breccia,carbonate,limestone,gypsum,coal,peat,lignite,chert,volcanic,rhyolite,trachyte,andesite,basalt,glass,ash,tuff,quartzite,clay,igneous,sedimentary,alluvium,colluvium,soil,paleosol,obsidian}"
5a0b3ff9cf58f18684253ba4,Additional Archaeological Investigations of the Propised Fulton M.pdf,"{Copper,Diamond,Ice,Lead,""Phase A"",gravel,sand,silt,conglomerate,carbonate,coal,chert,glass,slate,marble,clay,soil}"
5a0b411dcf58f18684253c08,An Archaeological Inventory of Camp Swift Bastrop County Texas.pdf,"{Amethyst,Glauconite,Hematite,Iron,Lead,Lime,Montmorillonite,Nickel,Quartz,Selenium,Tin,Manganese,""Phase A"",Charcoal,Magnesium,gravel,sand,silt,mudstone,shale,sandstone,carbonate,marl,limestone,coal,lignite,tar,chert,ironstone,granite,rhyolite,glass,slate,quartzite,marble,clay,igneous,alluvium,soil,paleosol}"
5a0b401ccf58f18684253bb2,An Archaeological Investigation of Comanche Lookout Park Northea.pdf,"{Gold,Nickel,""Phase A"",limestone,chert,chalk,clay,soil}"
5a0b402ccf58f18684253bb9,An Archaeological Survey of 307 Acres at Camp Swift Bastrop Coun.pdf,"{Amethyst,Hematite,Iron,Lead,Lime,Nickel,Selenium,Tin,Manganese,""Phase A"",Cobalt,Charcoal,Magnesium,gravel,sand,silt,mud,mudstone,siltstone,sandstone,carbonate,coal,peat,lignite,chert,ironstone,glass,ash,quartzite,greenstone,clay,sedimentary,loess,alluvium,colluvium,soil,paleosol}"
5a0b4037cf58f18684253bba,An Archaeological Survey of 3475 Acres at Camp Swift Bastrop Co.pdf,"{Agate,Amethyst,Copper,Diamond,Gold,Hematite,Ice,Iron,Lead,Lime,Nickel,Selenium,Silver,Tin,Manganese,""Phase A"",Cobalt,Charcoal,gravel,sand,mud,mudstone,sandstone,carbonate,limestone,coal,peat,lignite,chert,ironstone,granite,glass,slate,quartzite,clay,till,flint,colluvium,soil,drift}"
5a0b40f2cf58f18684253c00,An Archaeological Survey of a Pipeline Route Near Sabine Pass Je.pdf,"{sand,silt,glass,clay,soil}"
5a0b407bcf58f18684253bd7,An Archaeological Survey of Portions of Mud and St. Joseph Island.pdf,"{sand,mud,flint,soil}"
5a0b405ecf58f18684253bc7,An Archaeological Test Excavation at John James Park City of San.pdf,"{""Phase A"",Charcoal,gravel,carbonate,limestone,chert,glass,clay,soil}"
5a0b4172cf58f18684253c20,An Assessment of Archaeological Resources in Portions of Starr Co.pdf,"{Lead,gravel,sand,silt,lignite,chert,quartzite,clay,alluvium,soil}"
